Id_Rssd,N,asOfDate
1119794,5,2007-03-31
1119794,4,2007-06-30
1119794,4,2007-09-30
1119794,4,2007-12-31
1119794,4,2008-03-31
1119794,4,2008-06-30
1119794,4,2008-09-30
1119794,4,2008-12-31
1119794,4,2009-03-31
1119794,4,2009-06-30
1119794,4,2009-09-30
1119794,4,2009-12-31
1119794,4,2010-03-31
1119794,4,2010-06-30
1119794,4,2010-09-30
1119794,4,2010-12-31
1119794,2,2011-03-31
1119794,2,2011-06-30
1119794,2,2011-09-30
1119794,2,2011-12-31
1119794,2,2012-03-31
1119794,2,2012-06-30
1119794,2,2012-09-30
1119794,3,2012-12-31
1119794,3,2013-03-31
1119794,3,2013-06-30
1119794,4,2013-09-30
1119794,6,2013-12-31
1119794,5,2014-03-31
1119794,5,2014-06-30
1119794,6,2014-09-30
1119794,6,2014-12-31
1119794,7,2015-03-31
1119794,7,2015-06-30
1119794,7,2015-09-30
1119794,7,2015-12-31
1119794,6,2016-03-31
1119794,5,2016-06-30
1119794,5,2016-09-30
1119794,5,2016-12-31
1119794,5,2017-03-31
1119794,5,2017-06-30
1119794,5,2017-09-30
1119794,5,2017-12-31
1119794,5,2018-03-31
1119794,5,2018-06-30
1119794,5,2018-09-30
1120754,9,1999-12-31
1120754,9,2000-03-31
1120754,9,2000-06-30
1120754,9,2000-09-30
1120754,12,2000-12-31
1120754,12,2001-03-31
1120754,13,2001-06-30
1120754,12,2001-09-30
1120754,12,2001-12-31
1120754,13,2002-03-31
1120754,13,2002-06-30
1120754,13,2002-09-30
1120754,13,2002-12-31
1120754,14,2003-03-31
1120754,16,2003-06-30
1120754,15,2003-09-30
1120754,15,2003-12-31
1120754,15,2004-03-31
1120754,15,2004-06-30
1120754,15,2004-09-30
1120754,17,2004-12-31
1120754,17,2005-03-31
1120754,16,2005-06-30
1120754,16,2005-09-30
1120754,17,2005-12-31
1120754,19,2006-03-31
1120754,19,2006-06-30
1120754,18,2006-09-30
1120754,18,2006-12-31
1120754,15,2007-03-31
1120754,16,2007-06-30
1120754,15,2007-09-30
1120754,15,2007-12-31
1120754,16,2008-03-31
1120754,19,2008-06-30
1120754,19,2008-09-30
1120754,58,2008-12-31
1120754,56,2009-03-31
1120754,55,2009-06-30
1120754,56,2009-09-30
1120754,58,2009-12-31
1120754,64,2010-03-31
1120754,60,2010-06-30
1120754,62,2010-09-30
1120754,61,2010-12-31
1120754,60,2011-03-31
1120754,58,2011-06-30
1120754,61,2011-09-30
1120754,62,2011-12-31
1120754,63,2012-03-31
1120754,69,2012-06-30
1120754,67,2012-09-30
1120754,77,2012-12-31
1120754,79,2013-03-31
1120754,82,2013-06-30
1120754,85,2013-09-30
1120754,85,2013-12-31
1120754,86,2014-03-31
1120754,88,2014-06-30
1120754,86,2014-09-30
1120754,89,2014-12-31
1120754,92,2015-03-31
1120754,79,2015-06-30
1120754,80,2015-09-30
1120754,76,2015-12-31
1120754,77,2016-03-31
1120754,82,2016-06-30
1120754,83,2016-09-30
1120754,86,2016-12-31
1120754,85,2017-03-31
1120754,83,2017-06-30
1120754,78,2017-09-30
1120754,73,2017-12-31
1120754,75,2018-03-31
1120754,74,2018-06-30
1120754,35,2018-09-30
1131787,1,1999-12-31
1131787,1,2000-03-31
1131787,1,2000-06-30
1131787,1,2000-09-30
1131787,1,2000-12-31
1131787,6,2001-03-31
1131787,6,2001-06-30
1131787,1,2001-09-30
1131787,1,2001-12-31
1131787,1,2002-03-31
1131787,1,2002-06-30
1131787,1,2002-09-30
1131787,1,2002-12-31
1131787,1,2003-03-31
1131787,1,2003-06-30
1131787,1,2003-09-30
1131787,1,2003-12-31
1131787,1,2004-03-31
1131787,1,2004-06-30
1131787,1,2004-09-30
1131787,2,2004-12-31
1131787,2,2005-03-31
1131787,2,2005-06-30
1131787,2,2005-09-30
1131787,2,2005-12-31
1131787,2,2006-03-31
1131787,1,2006-06-30
1131787,6,2006-09-30
1131787,6,2006-12-31
1131787,6,2007-03-31
1131787,5,2007-06-30
1131787,5,2007-09-30
1131787,4,2007-12-31
1131787,4,2008-03-31
1131787,4,2008-06-30
1131787,3,2008-09-30
1131787,2,2008-12-31
1131787,1,2009-03-31
1131787,1,2009-06-30
1131787,1,2009-09-30
1131787,1,2009-12-31
1131787,2,2010-03-31
1131787,2,2010-06-30
1131787,2,2010-09-30
1131787,2,2010-12-31
1131787,2,2011-03-31
1131787,2,2011-06-30
1131787,2,2011-09-30
1131787,2,2011-12-31
1131787,2,2012-03-31
1131787,2,2012-06-30
1131787,2,2012-09-30
1131787,2,2012-12-31
1131787,2,2013-03-31
1131787,2,2013-06-30
1131787,2,2013-09-30
1131787,2,2013-12-31
1131787,2,2014-03-31
1131787,1,2014-06-30
1131787,1,2014-09-30
1131787,1,2014-12-31
1131787,1,2015-03-31
1131787,1,2015-06-30
1131787,1,2015-09-30
1131787,1,2015-12-31
1131787,1,2016-03-31
1131787,1,2016-06-30
1131787,1,2016-09-30
1131787,1,2016-12-31
1131787,1,2017-03-31
1131787,1,2017-06-30
1131787,1,2017-09-30
1131787,1,2017-12-31
1131787,1,2018-03-31
1131787,1,2018-06-30
1131787,1,2018-09-30
1132449,0,1999-12-31
1132449,0,2000-03-31
1132449,0,2000-06-30
1132449,0,2000-09-30
1132449,0,2000-12-31
1132449,0,2001-03-31
1132449,0,2001-06-30
1132449,0,2001-09-30
1132449,0,2001-12-31
1132449,0,2002-03-31
1132449,1,2002-06-30
1132449,1,2002-09-30
1132449,1,2002-12-31
1132449,1,2003-03-31
1132449,1,2003-06-30
1132449,1,2003-09-30
1132449,1,2003-12-31
1132449,1,2004-03-31
1132449,1,2004-06-30
1132449,1,2004-09-30
1132449,1,2004-12-31
1132449,1,2005-03-31
1132449,1,2005-06-30
1132449,1,2005-09-30
