"Type","V1","yearqtr"
"FHC - Foreign",34,2005-12-31
"SLHC",575,2006-03-31
"BHC",5162,2006-03-31
"FHC - Domestic",692,2006-03-31
"FBO as BHC",55,2006-03-31
"FHC - Foreign",33,2006-03-31
"SLHC",591,2006-06-30
"BHC",5156,2006-06-30
"FHC - Domestic",695,2006-06-30
"FBO as BHC",54,2006-06-30
"FHC - Foreign",33,2006-06-30
"SLHC",608,2006-09-30
"BHC",5164,2006-09-30
"FHC - Domestic",701,2006-09-30
"FBO as BHC",52,2006-09-30
"FHC - Foreign",35,2006-09-30
"SLHC",615,2006-12-31
"BHC",5126,2006-12-31
"FHC - Domestic",711,2006-12-31
"FBO as BHC",50,2006-12-31
"FHC - Foreign",40,2006-12-31
"SLHC",623,2007-03-31
"BHC",5118,2007-03-31
"FHC - Domestic",709,2007-03-31
"FBO as BHC",50,2007-03-31
"FHC - Foreign",40,2007-03-31
"SLHC",637,2007-06-30
"BHC",5115,2007-06-30
"FHC - Domestic",708,2007-06-30
"FBO as BHC",51,2007-06-30
"FHC - Foreign",41,2007-06-30
"SLHC",646,2007-09-30
"BHC",5100,2007-09-30
"FHC - Domestic",710,2007-09-30
"FBO as BHC",51,2007-09-30
"FHC - Foreign",41,2007-09-30
"SLHC",666,2007-12-31
"BHC",5099,2007-12-31
"FHC - Domestic",709,2007-12-31
"FBO as BHC",52,2007-12-31
"FHC - Foreign",41,2007-12-31
"SLHC",677,2008-03-31
"BHC",5066,2008-03-31
"FHC - Domestic",694,2008-03-31
"FBO as BHC",52,2008-03-31
"FHC - Foreign",43,2008-03-31
"SLHC",686,2008-06-30
"BHC",5052,2008-06-30
"FHC - Domestic",683,2008-06-30
"FBO as BHC",52,2008-06-30
"FHC - Foreign",44,2008-06-30
"SLHC",698,2008-09-30
"BHC",5046,2008-09-30
"FHC - Domestic",680,2008-09-30
"FBO as BHC",52,2008-09-30
"FHC - Foreign",44,2008-09-30
"SLHC",703,2008-12-31
"BHC",5007,2008-12-31
