yearqtr,Id_Rssd,BHCK2170
2012-06-30,1073757,2162083396
2012-09-30,1073757,2168023105
2012-12-31,1073757,2212004452
2013-03-31,1073757,2176625000
2013-06-30,1073757,2125686000
2013-09-30,1073757,2128706000
2013-12-31,1073757,2104995000
2014-03-31,1073757,2152533000
2014-06-30,1073757,2172001000
2014-09-30,1073757,2126138000
2014-12-31,1073757,2106796000
2015-03-31,1073757,2145027000
2015-06-30,1073757,2152082000
2015-09-30,1073757,2154342000
2015-12-31,1073757,2147391000
2016-03-31,1073757,2188633000
2016-06-30,1073757,2189811000
2016-09-30,1073757,2198884000
2016-12-31,1073757,2189266000
1986-09-30,1074156,1594153
1986-12-31,1074156,1840005
1987-03-31,1074156,1844619
1987-06-30,1074156,1899843
1987-09-30,1074156,2056640
1987-12-31,1074156,2268533
1988-03-31,1074156,2392129
1988-06-30,1074156,2433852
1988-09-30,1074156,2463349
1988-12-31,1074156,2601084
1989-03-31,1074156,2664164
